,City,Colors Reported,Shape Reported,State,Time
5467,Fairfield,Red,CIGAR,IA,7/2/1986 20:00
5468,Louisville,Red,CIRCLE,KY,7/4/1986 22:00
5469,Lincoln,Red,LIGHT,NE,7/4/1986 23:30
5470,Bayside,Red,DIAMOND,NY,7/5/1986 21:00
5471,Waynesburg,Red,DIAMOND,PA,7/13/1986 17:00
5472,Phoenix,Red,FIREBALL,AZ,7/13/1986 18:00
5473,Chicago,Red,OVAL,IL,7/15/1986 3:00
5474,Las Vegas,Red,VARIOUS,NM,7/15/1986 7:30
5475,Lake Elsinore,Red,DISK,CA,7/15/1986 11:00
5476,Palos Verdes Peninsula,Red,RECTANGLE,CA,7/15/1986 17:30
5477,Albuquerque,Red,CHEVRON,NM,7/15/1986 19:30
5478,Smith,RED,LIGHT,KY,7/15/1986 21:00
5479,East Sparta,Red,OTHER,OH,7/15/1986 22:00
5480,Pecos,Red,OTHER,NM,7/15/1986 22:00
5481,Tucson,Red,LIGHT,AZ,7/20/1986 1:00
5482,San Marcos,RED YELLOW BLUE,RECTANGLE,TX,7/20/1986 3:30
5483,New Haven,Red,TRIANGLE,CT,7/20/1986 23:30
5484,Apple Valley,Red,TRIANGLE,CA,7/23/1986 19:00
5485,Austin,Red,OVAL,TX,7/30/1986 16:00
5486,Kingwood,Red,DIAMOND,TX,7/31/1986 21:00
5487,Lawton,Red,DIAMOND,MI,8/1/1986 0:00
5488,Page,Red,SPHERE,AZ,8/1/1986 0:00
5489,Lubbock,Red,RECTANGLE,TX,8/1/1986 15:00
5490,Marcellus,Red,TRIANGLE,MI,8/1/1986 20:00
5491,Jamestown,Red,TRIANGLE,OH,8/1/1986 22:00
5492,Bankson Lake,Red,TRIANGLE,MI,8/1/1986 22:30
5493,Tuolumne,RED,DISK,CA,8/2/1986 23:00
5494,Harrisonburg,Red,LIGHT,LA,8/4/1986 0:00
5495,Hutchinson,Red,TRIANGLE,KS,8/6/1986 2:00
5496,Girard,Red,FIREBALL,OH,8/8/1986 1:30
5497,Russells Point,Red,TRIANGLE,OH,8/13/1986 23:00
5498,Inez,Red,CHEVRON,KY,8/14/1986 11:55
5499,Ogden,Red,CIGAR,UT,8/15/1986 13:30
5500,Spokane,Red,TRIANGLE,WA,8/15/1986 18:00
5501,Stillwater,Red,LIGHT,OK,8/15/1986 21:30
5502,Seattle,RED,DISK,WA,8/15/1986 22:00
5503,Newberg,Red,TRIANGLE,OR,8/15/1986 23:25
5504,Decatur,Red,SPHERE,IN,8/15/1986 23:55
5505,Del Rio,Red,TRIANGLE,TX,8/16/1986 21:00
5506,Myrtle Beach,Red,SPHERE,SC,8/20/1986 0:30
5507,Anchorage,Red,DISK,AK,8/20/1986 2:00
5508,Eldon,RED,OTHER,MO,8/20/1986 22:00
5509,Danville,Red,TRIANGLE,VA,8/24/1986 0:00
5510,Maysville,Red,TRIANGLE,GA,9/1/1986 0:00
5511,Oak Harbor,Red,OTHER,WA,9/1/1986 15:00
5512,Virginia Beach,Red,LIGHT,VA,9/1/1986 20:00
5513,Calypso,RED YELLOW,SPHERE,NC,9/11/1986 22:00
5514,New York City,Red,SPHERE,NY,9/15/1986 3:00
5515,Tyler,Red,OTHER,TX,9/15/1986 20:00
5516,Calypso,RED YELLOW,OTHER,NC,9/15/1986 22:00
5517,Redding,RED,CIGAR,CA,9/15/1986 22:30
5518,Wingdale,Red,OTHER,NY,9/15/1986 22:30
5519,New Ellington,Red,OTHER,SC,9/16/1986 18:00
5520,Owensboro,Red,CYLINDER,KY,9/18/1986 16:00
5521,Colts Neck,Red,FIREBALL,NJ,9/18/1986 20:30
5522,Portsmouth,Red,LIGHT,VA,9/19/1986 19:00
5523,Tucson,BLUE,LIGHT,AZ,9/20/1986 23:50
5524,Jasper,Red,TRIANGLE,GA,9/21/1986 6:30
5525,Fredericksburg,ORANGE,TRIANGLE,VA,9/22/1986 16:00
5526,Klamath Falls,Red,CIRCLE,OR,10/1/1986 1:00
5527,N. Ridgeville,GREEN,TRIANGLE,OH,10/1/1986 22:00
5528,Wheeling,Red,LIGHT,WV,10/1/1986 22:00
5529,Bakersfield,Red,CIRCLE,CA,10/3/1986 21:00
5530,Cresson,ORANGE GREEN,DISK,PA,10/3/1986 21:00
5531,Holmes,Red,CHEVRON,NY,10/10/1986 20:00
5532,San Jose,GREEN,LIGHT,CA,10/14/1986 20:30
5533,Orangeburg,Red,CYLINDER,SC,10/15/1986 2:00
5534,Salem,Red,CIGAR,OR,10/15/1986 2:30
5535,Pinson,ORANGE,CIRCLE,AL,10/15/1986 14:00
5536,Bellevue,ORANGE,DISK,WA,10/15/1986 18:00
5537,Knoxville,Red,DISK,TN,10/15/1986 19:00
5538,Petaluma,Red,DISK,CA,10/15/1986 19:00
5539,Ridgecrest,Red,DISK,CA,10/15/1986 19:20
5540,Fayettville,Red,DIAMOND,TN,10/15/1986 21:00
5541,Onyx,Red,FIREBALL,CA,10/15/1986 22:00
5542,Eglin AFB,Red,DISK,FL,10/17/1986 17:00
5543,Bartlesville,Red,OTHER,OK,10/17/1986 18:00
5544,Raleigh,Red,TRIANGLE,NC,10/20/1986 19:00
5545,Selma,Red,LIGHT,NC,10/22/1986 22:00
5546,Decatur,Red,TRIANGLE,IA,10/26/1986 13:30
5547,Decatur City,Red,TRIANGLE,IA,10/30/1986 13:30
5548,Riverdale,Red,OTHER,GA,10/31/1986 3:00
5549,Landaff,Red,TRIANGLE,NH,11/1/1986 22:50
5550,Martinsburg,Red,OVAL,WV,11/1/1986 23:45
5551,Arvada,BLUE,SPHERE,CO,11/3/1986 20:30
5552,Grass Valley,Red,DISK,CA,11/10/1986 23:55
5553,Ft. Richardson,Red,LIGHT,AK,11/15/1986 0:00
5554,Girdwood,ORANGE,SPHERE,AK,11/15/1986 14:30
5555,Savannah,Red,LIGHT,GA,11/15/1986 21:00
5556,Plains,GREEN,OTHER,MT,11/15/1986 23:00
5557,North Laguna Beach,Red,DISK,CA,11/21/1986 18:30
5558,New Windsor,Red,TRIANGLE,MD,11/23/1986 5:45
5559,Ocala,RED,RECTANGLE,FL,12/1/1986 22:00
5560,Pocahontas,RED,LIGHT,AR,12/12/1986 20:00
5561,Attleboro,Red,DISK,MA,12/15/1986 20:30
5562,Ocala,Red,TRIANGLE,FL,12/24/1986 22:00
5563,Pittsburgh,Red,TRIANGLE,PA,12/27/1986 10:30
5564,Kaneohe,Red,CIGAR,HI,12/31/1986 18:00
5565,Mt. Airy,Red,FORMATION,NC,12/31/1986 19:00
5566,Mt. Airy,Red,TRIANGLE,NC,12/31/1986 19:00
5567,Houston,Red,FORMATION,TX,12/31/1986 21:00
5568,Castro Valley,Red,OVAL,CA,1/1/1987 0:00
5569,Salem,RED,SPHERE,OR,1/1/1987 0:00
5570,El Centro,RED,SPHERE,CA,1/10/1987 17:00
5571,Montgomery,Red,CIGAR,AL,1/13/1987 0:00
5572,Ojai,Red,LIGHT,CA,1/15/1987 0:00
5573,Elkader,Red,OTHER,IA,1/15/1987 1:45
5574,Las Vegas,Red,DISK,NV,1/29/1987 22:00
5575,East Meadow,Red,VARIOUS,NY,1/30/1987 13:00
5576,Kenai,Red,LIGHT,AK,1/30/1987 21:00
5577,Black Hawk,RED YELLOW,SPHERE,CO,1/31/1987 17:04
5578,Lucas,Red,OTHER,TX,2/1/1987 14:00
5579,Traverse City,Red,TRIANGLE,MI,2/3/1987 8:30
5580,Laurel Springs,Red,RECTANGLE,NJ,2/6/1987 13:00
5581,Bessemer,Red,LIGHT,AL,2/20/1987 1:30
5582,Revere,Red,LIGHT,MA,3/1/1987 1:00
5583,Weaverville,Red,TRIANGLE,NC,3/1/1987 19:00
5584,Evansville,Red,LIGHT,IN,3/5/1987 3:00
5585,Ghent,Red,EGG,WV,3/8/1987 12:27
5586,Medford,Red,FORMATION,NY,3/10/1987 20:00
5587,Scottsdale,Red,LIGHT,AZ,3/15/1987 3:00
5588,New York City,Red,CHEVRON,NY,3/17/1987 21:00
5589,Apache Junction,Red,VARIOUS,AZ,3/23/1987 0:55
5590,East Helena,Red,TRIANGLE,MT,3/31/1987 23:00
5591,Stamps,Red,CHEVRON,AR,4/1/1987 18:00
5592,Malibu,Red,FIREBALL,CA,4/1/1987 21:30
5593,Lawrenceville,Red,OTHER,NJ,4/9/1987 19:20
5594,New York City,Red,TRIANGLE,NY,4/10/1987 13:00
5595,Carolina Beach,Red,CIGAR,NC,4/11/1987 22:00
5596,Butler,Red,OTHER,PA,4/14/1987 12:00
5597,Seal Rock,Red,SPHERE,OR,4/15/1987 16:00
5598,Clearwater,Red,OTHER,FL,4/16/1987 15:30
5599,American Fork,Red,FORMATION,UT,4/17/1987 12:00
5600,Carolina Beach,Red,CIGAR,NC,4/19/1987 22:30
5601,Hibbing,Red,CIRCLE,MN,4/21/1987 22:30
5602,Rockford,ORANGE,SPHERE,IL,4/22/1987 23:30
5603,Redmond,RED,CIGAR,WA,4/23/1987 20:30
5604,Seattle,ORANGE,VARIOUS,WA,4/24/1987 20:15
5605,Winslow,Red,LIGHT,ME,5/1/1987 23:00
5606,Natick,Red,DISK,MA,5/5/1987 21:00
5607,El Paso,Red,DISK,TX,5/6/1987 18:15
5608,Marble Falls,Red,CIRCLE,TX,5/8/1987 0:00
5609,Selden,Red,OTHER,NY,5/10/1987 23:30
5610,Wales,Red,LIGHT,NY,5/10/1987 23:30
5611,Whitesburg,Red,RECTANGLE,KY,5/14/1987 20:45
5612,Las Vegas,Red,OVAL,NV,5/15/1987 0:30
5613,Island Lake,RED,LIGHT,IL,5/15/1987 23:00
5614,Temple,Red,CIGAR,TX,5/15/1987 23:00
5615,Evansville,Red,OTHER,IN,5/18/1987 22:30
5616,Galveston,Red,VARIOUS,TX,5/20/1987 2:00
5617,Mcpherson,Red,TRIANGLE,KS,5/20/1987 22:00
5618,San Antonio,Red,DISK,TX,5/21/1987 2:00
5619,Schenectady,Red,CHEVRON,NY,5/28/1987 19:00
5620,Burnside,Red,CIRCLE,KY,5/28/1987 20:30
5621,Iowa,Red,LIGHT,LA,6/1/1987 0:00
5622,Kittery,Red,LIGHT,ME,6/1/1987 0:00
5623,Coos Bay,Red,DISK,OR,6/1/1987 1:00
5624,San Francisco,Red,OTHER,CA,6/1/1987 2:30
5625,Olympia,Red,EGG,WA,6/1/1987 3:00
5626,Miami,Red,LIGHT,FL,6/1/1987 6:00
5627,Las Vegas,Red,LIGHT,NV,6/1/1987 6:45
5628,New York City,RED,CIGAR,NY,6/1/1987 15:00
5629,Redding,Red,LIGHT,CA,6/1/1987 16:00
5630,Segno,Red,DISK,TX,6/1/1987 16:00
5631,Ithaca,Red,OTHER,MI,6/1/1987 17:00
5632,Syracuse,RED GREEN,OVAL,NY,6/1/1987 19:00
5633,Gladstone,Red,DISK,MO,6/1/1987 19:30
5634,Minford,Red,FLASH,OH,6/1/1987 20:00
5635,Putnam Valley,Red,FORMATION,NY,6/1/1987 21:00
5636,Kansas,BLUE,FIREBALL,KS,6/1/1987 22:00
5637,Little Rock,Red,FORMATION,AR,6/1/1987 22:00
5638,Jackson Hole,Red,LIGHT,WY,6/7/1987 21:00
5639,Jackson,Red,DIAMOND,MS,6/10/1987 7:00
5640,Joplin,Red,DISK,MO,6/10/1987 22:30
5641,Sarasota,Red,DISK,FL,6/11/1987 9:00
5642,Middlebury,Red,DISK,CT,6/11/1987 21:00
5643,Pittsburg,Red,LIGHT,KS,6/12/1987 1:00
5644,Depere,Red,LIGHT,WI,6/12/1987 21:00
5645,Cedarburg,RED,FORMATION,WI,6/13/1987 1:30
5646,Londonderry,Red,OTHER,NH,6/15/1987 1:00
5647,Bullhead City,Red,FIREBALL,AZ,6/15/1987 18:30
5648,Burlington,Red,FIREBALL,CT,6/15/1987 20:00
5649,Miamisburg,Red,TRIANGLE,OH,6/18/1987 23:15
5650,Auburn,Red,FIREBALL,MA,6/20/1987 9:30
5651,Gettysburg,Red,LIGHT,PA,6/21/1987 23:00
5652,Summerfield,Red,LIGHT,OK,6/23/1987 1:30
5653,Pahrump,Red,OTHER,NV,6/25/1987 23:00
5654,Crofton,Red,DISK,MD,6/30/1987 0:00
5655,Muskegon,Red,LIGHT,MI,6/30/1987 2:30
5656,Irma,Red,OVAL,WI,6/30/1987 4:45
5657,Canton,Red,LIGHT,OH,6/30/1987 15:00
5658,Osceola County,Red,OTHER,FL,6/30/1987 16:00
5659,Hancock,Red,TRIANGLE,MD,6/30/1987 19:00
5660,Palm Springs,Red,LIGHT,CA,6/30/1987 19:00
5661,St. Cloud,Red,OTHER,FL,6/30/1987 21:00
5662,Thomaston,Red,CIRCLE,GA,7/1/1987 0:30
5663,Marshville,Red,OTHER,NC,7/1/1987 1:00
5664,San Pedro,Red,TRIANGLE,CA,7/1/1987 3:00
5665,Cherokee Village,Red,CYLINDER,AR,7/1/1987 16:00
5666,Lost Park,RED,SPHERE,CO,7/1/1987 20:00
5667,Erie,Red,TRIANGLE,PA,7/3/1987 20:00
5668,Frankford,Red,LIGHT,MO,7/4/1987 22:00
5669,Neenah,Red,OTHER,WI,7/7/1987 1:00
5670,Salina,Red,SPHERE,KS,7/7/1987 23:30
5671,Rockford,Red,TRIANGLE,IL,7/10/1987 22:05
5672,White Bear Lake,Red,DISK,MN,7/12/1987 15:00
5673,Sacramento,Red,OTHER,CA,7/14/1987 1:30
5674,Teller,Red,DISK,AK,7/15/1987 1:30
5675,Richton,Red,OTHER,MS,7/15/1987 2:00
5676,San Juan Capistrano,YELLOW,LIGHT,CA,7/15/1987 2:00
5677,Arkansas,Red,LIGHT,AR,7/15/1987 3:00
5678,Houston,Red,SPHERE,TX,7/15/1987 13:00
5679,Beaver Dam,Red,OTHER,WI,7/15/1987 20:00
5680,Dyersburg,Red,CIRCLE,TN,7/15/1987 20:30
5681,Lakeville,Red,CHEVRON,CT,7/15/1987 21:00
5682,Collinsville,Red,TRIANGLE,AL,7/15/1987 22:30
5683,Alton,Red,DISK,IL,7/15/1987 23:00
5684,Somerset,Red,RECTANGLE,KY,7/16/1987 21:45
5685,Rome,Red,SPHERE,GA,7/18/1987 21:30
5686,Jackman,Red,SPHERE,ME,7/20/1987 18:00
5687,Piscataway,Red,OTHER,NJ,7/20/1987 21:00
5688,Windsor,Red,CIGAR,MO,7/20/1987 23:59
5689,Gypsum,Red,OVAL,CO,7/21/1987 11:00
5690,New York City,Red,OVAL,NY,7/21/1987 23:00
5691,Seattle,Red,TRIANGLE,WA,7/22/1987 10:15
5692,Scottsdale,RED GREEN BLUE,LIGHT,AZ,7/23/1987 0:15
5693,Lawton,Red,LIGHT,OK,7/25/1987 2:00
5694,Tucson,Red,FLASH,AZ,7/28/1987 15:00
5695,Asheville,Red,LIGHT,NC,7/30/1987 21:20
5696,Indianapolis,RED,LIGHT,IN,8/1/1987 0:00
5697,Carlsbad,Red,DIAMOND,CA,8/1/1987 22:00
5698,Live Oak,Red,FIREBALL,FL,8/1/1987 22:00
5699,Crescent Junction,Red,OTHER,UT,8/6/1987 3:30
5700,Applegate,Red,LIGHT,CA,8/11/1987 23:00
5701,Neosho,Red,RECTANGLE,MO,8/11/1987 23:00
5702,Springfield,Red,TRIANGLE,OH,8/13/1987 21:00
5703,Kitsap County,Red,LIGHT,WA,8/15/1987 0:00
5704,Marina,Red,OTHER,CA,8/15/1987 1:00
5705,no data,Red,TRIANGLE,NE,8/15/1987 1:30
5706,Bremen,Red,DISK,GA,8/15/1987 2:00
5707,Bessmer,GREEN,LIGHT,MI,8/15/1987 2:30
5708,Rte 7,Red,CHEVRON,VT,8/15/1987 2:30
5709,Chino Valley,Red,SPHERE,AZ,8/15/1987 16:00
5710,Bellefontaine,Red,RECTANGLE,OH,8/15/1987 19:00
5711,Brookline,Red,TRIANGLE,MA,8/15/1987 22:30
5712,Olancha,Red,DISK,CA,8/15/1987 22:30
5713,Springfield,Red,CIGAR,OR,8/17/1987 2:00
5714,San Diego,Red,DISK,CA,8/17/1987 2:30
5715,Jakes Corners,Red,LIGHT,AZ,8/17/1987 19:00
5716,Los Alamos,RED,CHEVRON,CA,8/17/1987 20:00
5717,Lincoln,Red,DISK,IL,8/18/1987 22:00
5718,Cedar Springs,RED,CIRCLE,MI,8/20/1987 1:00
5719,Port Aransas,Red,TRIANGLE,TX,8/20/1987 2:00
5720,Hastings On Hudson,Red,TRIANGLE,NY,8/20/1987 20:00
5721,Tallahassee,Red,CHEVRON,FL,8/20/1987 21:00
5722,Crown Point,Red,DISK,IN,8/20/1987 23:00
5723,Southbridge,Red,LIGHT,MA,8/22/1987 20:00
5724,Panorama City,Red,OTHER,CA,9/1/1987 0:00
5725,Hewlett,Red,DISK,NY,9/1/1987 20:00
5726,Conway,RED YELLOW,CYLINDER,AR,9/10/1987 18:00
5727,Liverpool,Red,CIGAR,NY,9/15/1987 7:30
5728,River Hills,Red,LIGHT,WI,9/15/1987 20:00
5729,Yankton,Red,TRIANGLE,SD,9/15/1987 21:00
5730,Tulare,Red,LIGHT,CA,9/15/1987 23:00
5731,Spokane,Red,DISK,WA,9/16/1987 21:21
5732,Lima,Red,RECTANGLE,OH,9/18/1987 23:00
5733,Santa Fe,Red,LIGHT,NM,9/20/1987 16:00
5734,Alvarado,Red,LIGHT,TX,9/25/1987 18:00
5735,West Palm Beach,Red,LIGHT,FL,10/1/1987 1:00
5736,Roseburg,ORANGE,OVAL,OR,10/1/1987 20:00
5737,Alstead,Red,FIREBALL,NH,10/1/1987 21:00
5738,Louisburg,Red,TRIANGLE,NC,10/1/1987 23:00
5739,Wappingers Falls,Red,LIGHT,NY,10/1/1987 23:00
5740,Wytheville,RED,LIGHT,VA,10/8/1987 23:00
5741,Minnetonka,Red,LIGHT,MN,10/11/1987 21:30
5742,Otto,BLUE,FIREBALL,MO,10/11/1987 23:59
5743,Raleigh,Red,TRIANGLE,NC,10/15/1987 2:00
5744,Burnet,Red,DISK,TX,10/15/1987 16:00
5745,Bolingbrook,Red,TRIANGLE,IL,10/15/1987 20:00
5746,Itta Bena,Red,CIRCLE,MS,10/15/1987 21:00
5747,Osawatomie,Red,OTHER,KS,10/15/1987 21:00
5748,Yonkers,Red,RECTANGLE,NY,10/15/1987 21:00
5749,Eastchester,Red,TRIANGLE,NY,10/15/1987 22:00
5750,Baker,Red,LIGHT,MT,10/15/1987 22:30
5751,Portsmouth,Red,CIGAR,NH,10/22/1987 20:00
5752,Fort Wayne,Red,LIGHT,IN,10/26/1987 0:00
5753,Jackson,RED ORANGE,FORMATION,WI,10/26/1987 23:00
5754,Las Cruces,Red,VARIOUS,NM,10/28/1987 20:30
5755,Kerens,Red,CIRCLE,TX,10/29/1987 23:30
5756,Pleasant Hill,ORANGE,SPHERE,CA,10/30/1987 22:00
5757,Omaha,Red,TRIANGLE,AR,10/31/1987 18:30
5758,Dallas,Red,LIGHT,NC,11/1/1987 4:00
5759,Daytona Beach,Red,CYLINDER,FL,11/1/1987 20:00
5760,Lyons,Red,OVAL,CO,11/1/1987 22:00
5761,San Diego,Red,FLASH,CA,11/15/1987 2:00
5762,St. Petersburg,Red,RECTANGLE,FL,11/15/1987 19:30
5763,Reedsville,Red,TRIANGLE,WI,11/15/1987 22:00
5764,Crivitz,Red,LIGHT,WI,11/15/1987 23:00
5765,Anchorage,Red,LIGHT,AK,11/17/1987 6:00
5766,Uvalde,RED GREEN,CIRCLE,TX,11/20/1987 21:30
5767,Knoxville,Red,CHEVRON,TN,11/23/1987 19:45
5768,Firebaugh,Red,TRIANGLE,CA,11/23/1987 23:00
5769,Tehachapi,Red,LIGHT,CA,11/26/1987 6:30
5770,El Paso,Red,OVAL,TX,11/27/1987 17:30
5771,Lake Ozark,GREEN,CIGAR,MO,12/12/1987 21:00
5772,Mapelton,Red,CONE,IL,12/13/1987 1:00
5773,Tampa,Red,LIGHT,FL,12/20/1987 1:00
5774,Las Vegas,RED,LIGHT,NV,12/20/1987 17:15
5775,Ocala,RED,TRIANGLE,FL,12/23/1987 22:00
5776,Exeter,Red,RECTANGLE,RI,12/24/1987 20:00
5777,Woodbridge,ORANGE,SPHERE,VA,12/31/1987 23:00
5778,Roselle,ORANGE,TRIANGLE,IL,1/1/1988 3:00
5779,Kenner,Red,CIRCLE,LA,1/1/1988 17:00
5780,Ellington,Red,TRIANGLE,CT,1/9/1988 23:00
5781,Williamsfield,YELLOW,LIGHT,IL,1/10/1988 22:10
5782,Cambridge,Red,OVAL,MA,1/12/1988 3:30
5783,Little Rock,Red,OTHER,AR,1/15/1988 18:00
5784,Vandalia,Red,TRIANGLE,MO,1/15/1988 23:00
5785,Kingsville,GREEN,RECTANGLE,OH,1/17/1988 2:00
5786,Stonewall,Red,LIGHT,OK,1/18/1988 20:00
5787,Duluth,Red,TRIANGLE,MN,1/25/1988 4:00
5788,Houma,Red,DISK,LA,2/5/1988 15:00
5789,Brooklyn Park,Red,CYLINDER,MN,2/8/1988 0:10
5790,Indian Springs,Red,OVAL,AL,2/15/1988 2:30
5791,Huntsville,Red,OTHER,AL,2/15/1988 21:00
5792,Brandon,Red,LIGHT,FL,2/25/1988 21:00
5793,In flight,Red,LIGHT,CO,3/1/1988 12:00
5794,New Brighton,Red,VARIOUS,PA,3/5/1988 16:30
5795,Shell Beach,Red,FIREBALL,CA,3/6/1988 3:00
5796,Powhatan,Red,TRIANGLE,VA,3/8/1988 5:20
5797,Quinton,Red,CIRCLE,VA,3/11/1988 0:00
5798,Klondyke,Red,CONE,AZ,3/15/1988 0:00
5799,Yuma,Red,LIGHT,AZ,3/15/1988 2:00
5800,Rock Hill,Red,CIRCLE,SC,3/15/1988 6:00
5801,Wataga,GREEN,DISK,IL,3/15/1988 10:00
5802,Gallup,Red,CYLINDER,NM,3/15/1988 19:30
5803,New York City,Red,OVAL,NY,3/17/1988 19:30
5804,Ossining,Red,EGG,NY,3/17/1988 20:00
5805,Pleasantville,Red,EGG,NY,3/17/1988 22:00
5806,Brunswick,GREEN,LIGHT,ME,4/4/1988 2:00
5807,Akron,Red,LIGHT,OH,4/4/1988 23:30
5808,Pleasant Hill,Red,DISK,MO,4/12/1988 16:00
5809,Wasilla,Red,DISK,AK,4/15/1988 7:00
5810,Bremerton,Red,DISK,WA,4/15/1988 14:00
5811,Yuma,Red,OTHER,AZ,4/15/1988 19:00
5812,Dallas,Red,LIGHT,TX,4/26/1988 23:00
5813,Lincoln,Red,CIRCLE,MO,4/30/1988 0:00
5814,McNeill,Red,CIGAR,MS,4/30/1988 22:00
5815,Cleveland,Red,CIRCLE,OH,5/1/1988 16:00
5816,Houston,Red,LIGHT,TX,5/1/1988 21:00
5817,Ray Center,Red,DISK,MI,5/1/1988 21:00
5818,Virginia Beach,Red,LIGHT,VA,5/5/1988 22:15
5819,Allison Park,Red,SPHERE,PA,5/15/1988 8:00
5820,Edgewood,Red,SPHERE,MD,5/15/1988 15:00
5821,Kendallville,Red,TRIANGLE,IN,5/15/1988 21:00
5822,Chicago,Red,CHEVRON,IL,5/17/1988 19:45
5823,Wheeler,Red,LIGHT,TX,5/20/1988 20:00
5824,Ada,Red,CIGAR,MN,5/24/1988 14:00
5825,Valentine,Red,OTHER,TX,6/1/1988 0:00
5826,Corbin,Red,DISK,KY,6/1/1988 1:00
5827,Davis,Red,LIGHT,OK,6/1/1988 1:00
5828,Live Oak,GREEN,LIGHT,FL,6/1/1988 1:00
5829,Tamarac,Red,EGG,FL,6/1/1988 2:00
5830,Ironton,Red,LIGHT,OH,6/1/1988 3:00
5831,Trinity village,Red,LIGHT,CA,6/1/1988 4:00
5832,Sebastopol,RED,CIRCLE,CA,6/1/1988 15:30
5833,Venice Beach,ORANGE,LIGHT,FL,6/1/1988 18:00
5834,Mankato,ORANGE,OTHER,MN,6/1/1988 19:00
5835,North East Orlando,Red,DISK,FL,6/1/1988 19:00
5836,Buras,Red,DISK,LA,6/1/1988 19:30
5837,Carrollton,Red,CIRCLE,MS,6/1/1988 20:00
5838,Blythe,Red,FORMATION,CA,6/1/1988 21:00
5839,Potomac,ORANGE,CIRCLE,MD,6/1/1988 21:00
5840,St. Augustine,Red,SPHERE,FL,6/1/1988 21:00
5841,Albuquerque,Red,SPHERE,NM,6/1/1988 21:30
5842,Walnut Creek,Red,LIGHT,CA,6/1/1988 22:00
5843,Lackawanna,Red,LIGHT,NY,6/1/1988 23:00
5844,Lakeline,Red,LIGHT,OH,6/1/1988 23:00
5845,Owego,RED,DISK,NY,6/10/1988 2:00
5846,Eden Prairie,Red,LIGHT,MN,6/10/1988 3:00
5847,Atlanta,Red,OTHER,GA,6/10/1988 12:00
5848,Pensacola,Red,LIGHT,FL,6/10/1988 22:00
5849,Omaha,Red,OVAL,NE,6/10/1988 22:30
5850,Carrollton,Red,CROSS,TX,6/14/1988 21:45
5851,Wilmington,Red,LIGHT,IL,6/15/1988 0:00
5852,Westfall,RED,LIGHT,PA,6/15/1988 1:00
5853,Los Angeles,Red,DIAMOND,CA,6/15/1988 21:00
5854,Julian,Red,OTHER,CA,6/15/1988 21:30
5855,Budd Lake,Red,TRIANGLE,NJ,6/15/1988 22:00
5856,North Freedom,Red,CYLINDER,WI,6/15/1988 23:00
5857,Jonesboro,Red,LIGHT,IN,6/18/1988 23:30
5858,Canton,Red,CIRCLE,GA,6/19/1988 3:00
5859,In-flight,Red,LIGHT,NV,6/19/1988 5:30
5860,Woburn,Red,LIGHT,MA,6/20/1988 1:00
5861,Conroe,Red,FIREBALL,TX,6/20/1988 17:30
5862,Columbia,Red,OVAL,PA,6/20/1988 20:00
5863,Napa,RED,CHEVRON,CA,6/26/1988 16:00
5864,Phoenix,Red,LIGHT,AZ,6/30/1988 1:00
5865,Pittsburgh,Red,TRIANGLE,PA,6/30/1988 3:00
5866,Frederid,Red,CIGAR,WI,6/30/1988 6:30
5867,Saline Valley,Red,SPHERE,CA,6/30/1988 11:00
5868,Harrison,Red,TRIANGLE,AR,6/30/1988 19:00
5869,Louisville,Red,CIRCLE,KY,6/30/1988 23:15
5870,North Pole,Red,LIGHT,AK,7/1/1988 0:00
5871,Norwood,Red,CIRCLE,MO,7/1/1988 0:00
5872,Show Low,Red,LIGHT,AZ,7/1/1988 1:00
5873,Baker,Red,LIGHT,CA,7/1/1988 13:00
5874,Tucson,Red,TRIANGLE,AZ,7/1/1988 13:00
5875,Yardley,Red,TRIANGLE,PA,7/1/1988 19:30
5876,Tucson,Red,TRIANGLE,AZ,7/1/1988 21:30
5877,Sarnia,BLUE,LIGHT,MO,7/1/1988 22:00
5878,Arcadia,Red,RECTANGLE,CA,7/1/1988 23:30
5879,Socorro,Red,TRIANGLE,NM,7/2/1988 2:30
5880,Morganton,Red,SPHERE,NC,7/4/1988 12:30
5881,Jacksonville,Red,TRIANGLE,FL,7/4/1988 21:00
5882,Rome,Red,SPHERE,NY,7/5/1988 0:30
5883,Denton,Red,RECTANGLE,TX,7/7/1988 22:00
5884,Monroe,Red,OTHER,WA,7/10/1988 21:00
5885,Fort Wayne,Red,OVAL,IN,7/14/1988 1:00
5886,Corona,Red,CROSS,NM,7/15/1988 0:00
5887,Connell,Red,OVAL,WA,7/15/1988 2:00
5888,Van Nuys,ORANGE,SPHERE,CA,7/15/1988 2:00
5889,Benson Landing,Red,LIGHT,VT,7/15/1988 3:00
5890,Benson Landing,Red,LIGHT,VT,7/15/1988 3:00
5891,Redding,Red,OTHER,CT,7/15/1988 18:00
5892,Corpus Christi,Red,CIRCLE,TX,7/15/1988 22:00
5893,Malibu,Red,OTHER,CA,7/16/1988 1:15
5894,San Jacinto Mountain,Red,SPHERE,CA,7/16/1988 14:00
5895,Whittier,Red,EGG,CA,7/16/1988 23:45
5896,Houston,Red,OVAL,TX,7/19/1988 22:00
5897,Fairfax,RED ORANGE,DISK,VA,7/20/1988 22:00
5898,Lousville,Red,LIGHT,KY,7/22/1988 10:45
